Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link_middle_mcp,-0.000117842821556698,-3.2290121309635E-05,0.00863106423284118,0,0,0,0.00257819387911544,1.39311864994492E-07,-9.89440853131927E-11,1.15475280176655E-08,1.19558733303555E-07,3.81149953453432E-10,1.18001791996955E-07,0,0,0,0,0,0,package://testtestest/meshes/link_middle_mcp.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_middle_mcp.STL,,hand-1/finger_basic-2/mcp-1,Origin_joint_middle_mcp,Axis_joint_middle_mcp,joint_middle_mcp,revolute,0.00780931239999957,-0.00749999999999997,-0.0761512615774632,3.12413936106984,0,-1.5707963267949,link_hand,1,0,0,1,10,-0.3,0.3,,,,,,,,
link_middle_1,0.00407970384588537,0.00015994121260206,-0.0189515956853987,0,0,0,0.00416300946914835,7.03543545256527E-07,2.51933528354199E-10,2.68622145176166E-08,6.56611173021955E-07,5.83300706902361E-09,6.76667218723815E-08,0,0,0,0,0,0,package://testtestest/meshes/link_middle_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_middle_1.STL,,hand-1/finger_basic-2/finger_1-1,Origin_joint_middle_1,Axis_joint_middle_1,joint_middle_1,revolute,-0.00100000000000003,0.00450000000000001,0.0165,-3.14159265358979,0,-1.5707963267949,link_middle_mcp,-1,0,0,1,10,-0.1,1.6,,,,,,,,
link_middle_2,0.00441803711990407,0.00120362820273458,-0.0129338632538621,0,0,0,0.00320875460827939,3.29000974847859E-07,6.44086325789347E-09,-3.85687165030129E-09,3.2226748549911E-07,1.20600678651283E-08,5.66164496085447E-08,0,0,0,0,0,0,package://testtestest/meshes/link_middle_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_middle_2.STL,,hand-1/finger_basic-2/finger_2-1,Origin_joint_middle_2,Axis_joint_middle_2,joint_middle_2,revolute,-0.000499999999999994,0,-0.042,0,0,0,link_middle_1,1,0,0,1,10,0,1.6,,,,,,,,
link_middle_3,0.00273429282506582,-0.00122191661438267,-0.0107361502959073,0,0,0,0.0013130030079715,6.25246682247581E-08,3.70996169521545E-11,1.41980442210244E-10,6.76896006384159E-08,-3.79867940761502E-09,1.59107654108704E-08,0,0,0,0,0,0,package://testtestest/meshes/link_middle_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://testtestest/meshes/link_middle_3.STL,,hand-1/finger_basic-2/finger_3-1,Origin_joint_middle_3,Axis_joint_middle_3,joint_middle_3,revolute,0.002,0.00150000000000001,-0.028,0,0,0,link_middle_2,1,0,0,1,10,0,1.6,,,,,,,,
link_index_mcp,3.16342761033286E-05,0.000145915839652068,-0.00819284790996799,0,0,0,0.00263164527123809,1.26005043551728E-07,-9.89440853132062E-11,3.8114995345335E-10,1.4583026933012E-07,1.12074801430089E-08,1.1819078285733E-07,0,0,0,0,0,0,package://testtestest/meshes/link_index_mcp.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_index_mcp.STL,,hand-1/finger_basic-3/mcp-1,Origin_joint_index_mcp,Axis_joint_index_mcp,joint_index_mcp,revolute,0.0306073497516695,-0.00749999999999997,-0.075651768923,0,0.0174532925199501,0,link_hand,0,-1,0,1,10,-0.3,0.3,,,,,,,,
link_index_1,0.00405308764842282,0.000178270133569684,-0.0179537540622485,0,0,0,0.00394026516494631,6.15611020964418E-07,2.23382112136515E-10,2.5239150826702E-08,5.71402375000205E-07,5.59305453397134E-09,6.41178911554499E-08,0,0,0,0,0,0,package://testtestest/meshes/link_index_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_index_1.STL,,hand-1/finger_basic-3/finger_1-1,Origin_joint_index_1,Axis_joint_index_1,joint_index_1,revolute,-0.00450000000000001,0.000999999999999989,-0.0165,0,0,0,link_index_mcp,-1,0,0,1,10,0,1.6,,,,,,,,
link_index_2,0.00446296119988491,0.00122163503978913,-0.0115187013694416,0,0,0,0.002920797680813,2.55838373927926E-07,6.51888341355684E-09,-3.37885691837302E-09,2.51133062722743E-07,1.00629632316855E-08,5.23195205691051E-08,0,0,0,0,0,0,package://testtestest/meshes/link_index_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_index_2.STL,,hand-1/finger_basic-3/finger_2-1,Origin_joint_index_2,Axis_joint_index_2,joint_index_2,revolute,-0.000499999999999995,0,-0.04,0,0,0,link_index_1,1,0,0,1,10,0,1.6,,,,,,,,
link_index_3,0.00273253534209424,-0.00114522473387511,-0.00970460697910508,0,0,0,0.00118012897979872,4.85518134221124E-08,3.54755053075412E-11,1.20647248580129E-10,5.27414912867098E-08,-3.35837192895355E-09,1.4039270677158E-08,0,0,0,0,0,0,package://testtestest/meshes/link_index_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://testtestest/meshes/link_index_3.STL,,hand-1/finger_basic-3/finger_3-1,Origin_joint_index_3,Axis_joint_index_3,joint_index_3,revolute,0.00200000000000001,0.00150000000000002,-0.025,0,0,0,link_index_2,1,0,0,1,10,0,1.6,,,,,,,,
link_thumb_mc,0.00711320476744043,0.000457447374365598,-0.0137466528824133,0,0,0,0.00291991029737827,5.73009820964478E-07,3.46849168960326E-08,-5.29034493240205E-08,6.28792048923392E-07,5.07872854108302E-08,1.17992653471119E-07,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_mc.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_mc.STL,,hand-1/thumb-1/thumb_carpal-1,Origin_joint_thumb_mc,Axis_joint_thumb_mc,joint_thumb_mc,revolute,0.0227192578001802,-0.00574999999999998,-0.0138123997738346,0,-0.223267551634933,0,link_hand,0,0,1,1,10,-1,0,,,,,,,,
link_thumb_mcp,0.000248323675863079,0.000717288340887804,-0.0233313385589793,0,0,0,0.00311170642185562,1.72231627807798E-07,-2.66189183206315E-09,-2.09220212904798E-11,1.96846821830975E-07,8.91560650155183E-09,1.27614511266352E-07,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_mcp.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_mcp.STL,,hand-1/thumb-1/thumb_mcp-1,Origin_joint_thumb_mcp,Axis_joint_thumb_mcp,joint_thumb_mcp,revolute,0.0129168755120969,-0.00935641802414214,-0.00600000000000001,0,0,-0.610865238198009,link_thumb_mc,0,-1,0,1,10,-0.8,0.3,,,,,,,,
link_thumb_1,0.00395145904443298,0.00024799971333659,-0.0149510006535248,0,0,0,0.00327229903230145,3.98074330928105E-07,1.41155033692267E-10,2.0295162347805E-08,3.62039198923064E-07,4.92207864673465E-09,5.34269905393817E-08,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_1.STL,,hand-1/thumb-1/finger_1-1,Origin_joint_thumb_1,Axis_joint_thumb_1,joint_thumb_1,revolute,-0.00449999999999999,0.001,-0.035,0,0,0,link_thumb_mcp,-1,0,0,1,10,-0.1,1.6,,,,,,,,
link_thumb_2,0.00446297038914131,0.0012215579164801,-0.01151880563547,0,0,0,0.00292075785136136,2.55832859836551E-07,6.51807485926867E-09,-3.37829871971657E-09,2.51128142487511E-07,1.00626749973295E-08,5.23154182512874E-08,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://testtestest/meshes/link_thumb_2.STL,,hand-1/thumb-1/finger_2-1,Origin_joint_thumb_2,Axis_joint_thumb_2,joint_thumb_2,revolute,-0.000499999999999997,0,-0.034,0,0,0,link_thumb_1,1,0,0,1,10,0,1.6,,,,,,,,
